Id. Acidente,Datahora,Dia,Mês,Hora,Entidades Fiscalizadoras,Velocidade local,Velocidade geral,Dia da Semana,Latitude GPS,Longitude GPS,Num. Mortos a 30 dias,Num. Feridos graves a 30 dias,Num. Feridos ligeiros a 30 dias,Características Tecnicas1,Cond Aderência,Distrito,Concelho,Freguesia,Pov. Proxima,Nome arruamento,Tipos Vias,Cod Via,Estado Conservação,Km,Factores Atmosféricos,Reg Circulação1,Intersecção Vias,Localizações,Luminosidade,Marca Via,Natureza,Obras Arte,Obstáculos,Sentidos,Sinais,Sinais Luminosos,Tipo Piso,Traçado 1,Traçado 2,Traçado 3,Traçado 4,Via Trânsito
20191683757,2019:01:10 16:00:00,01/10/00,01/01/00,01/01/00,Guarda Nacional Republicana,90.0,90.0,Quinta-Feira ,"41,091920","-8,630179",0,0,1,Auto-estrada,Seco e limpo,Porto,Vila Nova de Gaia,União das freguesias de Gulpilhares e Valadares,Valadares,,A  - Auto-Estrada,A44,Em estado regular,"1,38",Bom tempo,Sentido único,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,Colisão traseira com outro veículo em movimento,NÃO DEFINIDO,Inexistentes,No sentido crescente da quilometragem,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita
20161023111,2016:01:28 08:20:00,01/28/00,01/01/00,01/01/00,Polícia de Segurança Pública,50.0,50.0,Quinta-Feira ,"38,800978","-9,183617",0,0,2,Estrada sem separador,Molhado,Lisboa,Odivelas,Odivelas,Odivelas,Rua Bartolomeu Perestrelo                                                                           ,Arruamento,0,Em bom estado,,Chuva,Dois sentidos,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,Colisão traseira com outro veículo em movimento,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita
2010427486,2010:01:08 14:30:00,01/08/00,01/01/00,01/01/00,Polícia de Segurança Pública,50.0,50.0,Sexta-Feira  ,"0,00","0,00",0,0,1,Estrada sem separador,Húmido,Santarém,Torres Novas,Torres Novas (Santa Maria),,Rotunda Torres Novas-Sul,Arruamento,0,Em estado regular,,Chuva,Sentido único,Em rotunda,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,Despiste sem dispositivo de retenção,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Esquerda
20191680865,2019:01:17 13:20:00,01/17/00,01/01/00,01/01/00,Guarda Nacional Republicana,50.0,50.0,Quinta-Feira ,"40,960900","-8,516280",0,0,1,Estrada sem separador,Seco e limpo,Aveiro,Santa Maria da Feira,União das freguesias de Caldas de São Jorge e Pigeiros,São João de Ver,Rua dos Dezassete - Airas,Arruamento,0,Em estado regular,,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,Colisão lateral com outro veículo em movimento,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita
20181365406,2018:01:06 18:30:00,01/06/00,01/01/00,01/01/00,Guarda Nacional Republicana,50.0,50.0,Sábado       ,"40,569908","-8,570862",0,0,1,Estrada sem separador,Seco e limpo,Aveiro,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz",Oliveirinha,,EN - Estrada Nacional,EN235,Em estado regular,"10,1",Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,Colisão traseira com outro veículo em movimento,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Esquerda
20161111059,2016:01:07 18:50:00,01/07/00,01/01/00,01/01/00,Guarda Nacional Republicana,50.0,90.0,Quinta-Feira ,"39,538862","-8,497236",0,0,1,Estrada sem separador,Molhado,Leiria,Leiria,União das freguesias de Souto da Carpalhosa e Ortigosa,ORTIGOSA,,EN - Estrada Nacional,EN109,Em bom estado,"158,1",Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, sem iluminação",Com marcas - separadoras de sentido e de vias de trânsito,Colisão frontal,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Em patamar,Berma pavimentada,Em plena via,Direita
20191654928,2019:01:09 10:00:00,01/09/00,01/01/00,01/01/00,Polícia de Segurança Pública,50.0,50.0,Quarta-Feira ,"0,0","0,0",0,0,1,Estrada sem separador,Seco e limpo,Lisboa,Amadora,Mina de Água,Amadora,Estrada Serra da Mira                                                                               ,Arruamento,0,Em estado regular,,Bom tempo,Sentido único,Em rotunda,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,Colisão lateral com outro veículo em movimento,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,Cedência de passagem,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita
2011518966,2011:01:02 17:30:00,01/02/00,01/01/00,01/01/00,Guarda Nacional Republicana,70.0,90.0,Domingo      ,"40,01708","8,49834",0,0,2,NÃO DEFINIDO,Seco e limpo,Coimbra,Figueira da Foz,Marinha das Ondas,MARINHA DAS ONDAS,,IC - Itinerário Complementar,IC1,Em bom estado,134.5,Bom tempo,Dois sentidos,Fora da intersecção,Fora das localidades,Aurora ou crepúsculo,Sem marcas rodoviárias ou pouco visíveis,Colisão lateral com outro veículo em movimento,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,NÃO DEFINIDO
2014760676,2014:01:23 10:10:00,01/23/00,01/01/00,01/01/00,Polícia de Segurança Pública,50.0,50.0,Quinta-Feira ,"37,100770","-8,679756",0,0,1,Estrada sem separador,Seco e limpo,Faro,Lagos,Lagos (Santa Maria),,Rua Hospital São João de Deus,Arruamento,0,Em bom estado,,Bom tempo,Dois sentidos,NÃO DEFINIDO,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,Colisão com outras situações,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita
2011506852,2011:01:10 16:30:00,01/10/00,01/01/00,01/01/00,Polícia de Segurança Pública,50.0,50.0,Segunda-Feira,"0,00","0,00",0,0,1,Outra via,Húmido,Lisboa,Lisboa,Lumiar,,Avenida Padre Cruz,Arruamento,0,Em estado regular,,Chuva,Dois sentidos,NÃO DEFINIDO,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,Colisão traseira com outro veículo em movimento,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita
