Velocidade local,Dia da Semana,Cond Aderência,Zona,Tipos Vias,Estado Conservação,Factores Atmosféricos,Reg Circulação1,Intersecção Vias,Localizações,Luminosidade,Marca Via,Natureza,Obras Arte,Sinais,Sinais Luminosos,Tipo Piso,Traçado 1,Traçado 2,Traçado 3,Traçado 4,Via Trânsito,Periodo do Dia,Tipo de Acidente,Data
50.0,Segunda-Feira,Húmido,CENTRO,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma não pavimentada,Em plena via,Direita,Tarde,ligeiro,2012:01:16
50.0,Sexta-Feira  ,Seco e limpo,CENTRO,EN - Estrada Nacional,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2010:01:22
50.0,Quinta-Feira ,Húmido,CENTRO,EN - Estrada Nacional,Em estado regular,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, sem iluminação",Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Madrugada,ligeiro,2013:01:10
50.0,Sábado       ,Húmido,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,atropelamento,NÃO DEFINIDO,Passagem de peões,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2010:01:16
50.0,Sábado       ,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,atropelamento,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2015:01:31
50.0,Terça-Feira  ,Molhado,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Chuva,Sentido único,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,Viaduto/Ponte,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Central,Tarde,ligeiro,2017:01:31
50.0,Segunda-Feira,Seco e limpo,NORTE,Arruamento,Em bom estado,Bom tempo,Sentido único,Em rotunda,Dentro das localidades,NÃO DEFINIDO,Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2011:01:24
50.0,Domingo      ,Húmido,ALENTEJO,EN - Estrada Nacional,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Proibição de ultrapassagem,Inexistentes,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2013:01:13
50.0,Domingo      ,Molhado,CENTRO,Arruamento,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Calçada,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2010:01:17
120.0,Domingo      ,Molhado,AREA METROPOLITANA DE LISBOA,A  - Auto-Estrada,Em bom estado,Chuva,Sentido único,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2013:01:20
