NUTS II;CONCELHO;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Águeda;;;;;;;
CENTRO;Albergaria-a-Velha;;;;;;;
CENTRO;Albergaria-a-Velha;;;;;;;
CENTRO;Albergaria-a-Velha;;;;;;;
CENTRO;Albergaria-a-Velha;;;;;;;
CENTRO;Albergaria-a-Velha;;;;;;;
CENTRO;Albergaria-a-Velha;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
CENTRO;Anadia;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
NORTE;Arouca;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
CENTRO;Aveiro;;;;;;;
NORTE;Castelo de Paiva;;;;;;;
NORTE;Castelo de Paiva;;;;;;;
NORTE;Castelo de Paiva;;;;;;;
NORTE;Castelo de Paiva;;;;;;;
NORTE;Castelo de Paiva;;;;;;;
NORTE;Castelo de Paiva;;;;;;;
NORTE;Espinho;;;;;;;
NORTE;Espinho;;;;;;;
NORTE;Espinho;;;;;;;
NORTE;Espinho;;;;;;;
CENTRO;Estarreja;;;;;;;
CENTRO;Estarreja;;;;;;;
CENTRO;Estarreja;;;;;;;
CENTRO;Estarreja;;;;;;;
CENTRO;Estarreja;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
NORTE;Santa Maria da Feira;;;;;;;
CENTRO;Ílhavo;;;;;;;
CENTRO;Ílhavo;;;;;;;
CENTRO;Ílhavo;;;;;;;
CENTRO;Ílhavo;;;;;;;
CENTRO;Mealhada;;;;;;;
CENTRO;Mealhada;;;;;;;
CENTRO;Mealhada;;;;;;;
CENTRO;Mealhada;;;;;;;
CENTRO;Mealhada;;;;;;;
CENTRO;Mealhada;;;;;;;
CENTRO;Murtosa;;;;;;;
CENTRO;Murtosa;;;;;;;
CENTRO;Murtosa;;;;;;;
CENTRO;Murtosa;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
NORTE;Oliveira de Azeméis;;;;;;;
CENTRO;Oliveira do Bairro;;;;;;;
CENTRO;Oliveira do Bairro;;;;;;;
CENTRO;Oliveira do Bairro;;;;;;;
CENTRO;Oliveira do Bairro;;;;;;;
CENTRO;Ovar;;;;;;;
CENTRO;Ovar;;;;;;;
CENTRO;Ovar;;;;;;;
CENTRO;Ovar;;;;;;;
CENTRO;Ovar;;;;;;;
NORTE;São João da Madeira;;;;;;;
CENTRO;Sever do Vouga;;;;;;;
CENTRO;Sever do Vouga;;;;;;;
CENTRO;Sever do Vouga;;;;;;;
CENTRO;Sever do Vouga;;;;;;;
CENTRO;Sever do Vouga;;;;;;;
CENTRO;Sever do Vouga;;;;;;;
CENTRO;Sever do Vouga;;;;;;;
CENTRO;Vagos;;;;;;;
CENTRO;Vagos;;;;;;;
CENTRO;Vagos;;;;;;;
CENTRO;Vagos;;;;;;;
CENTRO;Vagos;;;;;;;
CENTRO;Vagos;;;;;;;
CENTRO;Vagos;;;;;;;
CENTRO;Vagos;;;;;;;
NORTE;Vale de Cambra;;;;;;;
NORTE;Vale de Cambra;;;;;;;
NORTE;Vale de Cambra;;;;;;;
NORTE;Vale de Cambra;;;;;;;
NORTE;Vale de Cambra;;;;;;;
NORTE;Vale de Cambra;;;;;;;
NORTE;Vale de Cambra;;;;;;;
ALENTEJO;Aljustrel;;;;;;;
ALENTEJO;Aljustrel;;;;;;;
ALENTEJO;Aljustrel;;;;;;;
ALENTEJO;Aljustrel;;;;;;;
ALENTEJO;Almodôvar;;;;;;;
ALENTEJO;Almodôvar;;;;;;;
ALENTEJO;Almodôvar;;;;;;;
ALENTEJO;Almodôvar;;;;;;;
ALENTEJO;Almodôvar;;;;;;;
ALENTEJO;Almodôvar;;;;;;;
ALENTEJO;Alvito;;;;;;;
ALENTEJO;Alvito;;;;;;;
ALENTEJO;Barrancos;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
